geneNames	transcriptNames	id	fc	pval	qval
rsmZ	rna-PA3621.1	3716	0.0023767267093389	0.000165649433148118	0.680528652537696
.	gene-PA2714	2770	0.00362979307231746	0.000451940593306444	0.680528652537696
.	gene-PA2311	2361	0.000449460479368224	0.000542884033084112	0.680528652537696
.	gene-PA1467	1499	21.302490781908	0.000665463990646709	0.680528652537696
.	gene-PA5324	5488	0.566828364630857	0.0006753585070296	0.680528652537696
.	gene-PA0100	104	0.0124814904490177	0.00077967766187248	0.680528652537696
cyoE	gene-PA1321	1351	1735.75786131972	0.00102929531543094	0.712639433354296
.	gene-PA4035	4135	301.801824826187	0.0010886223919867	0.712639433354296
.	gene-PA3944	4043	0.133208380446872	0.00136161684927516	0.792309715517113
.	gene-PA2440	2494	0.0010341299317786	0.00160778967628361	0.841999453469727
pilB	gene-PA4526	4648	3352.12598370045	0.00192479110657806	0.858736475179321
.	gene-PA1322	1352	0.0381549022432472	0.00213498818255764	0.858736475179321
.	gene-PA5526	5695	6.43678460449234	0.00215071961248969	0.858736475179321
.	rna-PA0668.5	681	0.00226547491888322	0.00231027692064911	0.858736475179321
str	gene-PA1858	1904	1865.73879468526	0.00245962328197247	0.858736475179321
.	gene-PA4062	4160	0.0328482908368573	0.00350212680150741	0.996468066230472
.	gene-PA0665	672	15.8475818856009	0.00358589876084703	0.996468066230472
.	gene-PA4121	4220	0.000301443085509925	0.00375954930119082	0.996468066230472
rfaD	gene-PA3337	3420	7724971103.40786	0.00390811829567128	0.996468066230472
.	gene-PA2721	2777	0.00125952179020736	0.00397880895127978	0.996468066230472
hslV	gene-PA5053	5211	3.70934064654282e-07	0.00408344924149429	0.996468066230472
.	gene-PA3618	3712	132.359420643588	0.00418604114131571	0.996468066230472
.	gene-PA2125	2171	257.999649829848	0.00450059429739358	0.998831115276178
.	gene-PA0827	843	0.294271345921517	0.00463296369058208	0.998831115276178
hpd	gene-PA0865	883	1.15240813936771e-06	0.00535162307537052	0.998831115276178
.	gene-PA3177	3256	0.078500672884634	0.00551658960617896	0.998831115276178
.	MSTRG.2867.4	3523	143013349.847227	0.00618887735012486	0.998831115276178
aprF	gene-PA1248	1278	0.00461520012720864	0.00627507836029739	0.998831115276178
.	gene-PA2609	2666	1251.13023112407	0.00633268205523019	0.998831115276178
.	gene-PA0268	273	29.2034495019759	0.00713033765208815	0.998831115276178
.	gene-PA0174	177	3.90192077650056e-05	0.00717370149976093	0.998831115276178
.	rna-PA5160.1	5319	4.0522301091771e-12	0.00752004596811728	0.998831115276178
ygdP	gene-PA0336	342	8.13416701267548	0.00772486689939833	0.998831115276178
.	gene-PA4068	4166	4.81907601344881	0.00777851908677474	0.998831115276178
nrdA	gene-PA1156	1185	34.7646542584863	0.00789455199036859	0.998831115276178
.	gene-PA4780	4933	0.0180806211726498	0.00804200988414761	0.998831115276178
.	gene-PA4193	4294	10.1064101936634	0.0083326968388201	0.998831115276178
.	gene-PA3748	3844	139.689427961414	0.00851033347019814	0.998831115276178
.	gene-PA1627	1663	87.7450766814603	0.00862646079482454	0.998831115276178
pdxH	gene-PA1049	1075	33327.7261345642	0.00869660042548814	0.998831115276178
serA	gene-PA0316	322	7.4888396599188	0.00871847169000151	0.998831115276178
.	gene-PA2813	2875	49.340331294492	0.00901928379224426	0.998831115276178
.	gene-PA3457	3550	25331.4559950254	0.00909925814330448	0.998831115276178
.	gene-PA2135	2181	0.00212209205792811	0.00951854596099477	0.998831115276178
.	gene-PA4605	4730	0.00199078380979385	0.00951878999097266	0.998831115276178
.	gene-PA5122	5279	326.815888603641	0.00971719470799792	0.998831115276178
.	gene-PA0202	207	1.24891561805294e-05	0.0100382487479527	0.998831115276178
.	gene-PA3676	3771	0.0144222550822359	0.0108727370485675	0.998831115276178
.	gene-PA5028	5186	346.203700836026	0.0110988933119449	0.998831115276178
.	gene-PA0943	967	6.66474283487967	0.0112106582472561	0.998831115276178
aer	gene-PA1561	1596	64.179682852312	0.0112271614591077	0.998831115276178
.	gene-PA2127	2173	51380.2195097571	0.0114554009606453	0.998831115276178
.	gene-PA1429	1460	784611608.519474	0.0122929814386459	0.998831115276178
flgF	gene-PA1081	1108	5.18434048588502	0.0123157889830763	0.998831115276178
ppkA	gene-PA0074	77	0.000267928140814418	0.0124910313449083	0.998831115276178
.	gene-PA1497	1530	11512.6463903455	0.0125840263715771	0.998831115276178
.	gene-PA3142	3223	0.0876833624176565	0.0132317400519939	0.998831115276178
.	gene-PA3131	3207	48304.5975158489	0.0135940001164754	0.998831115276178
.	gene-PA0940	964	0.00168163322255469	0.0141444672882778	0.998831115276178
.	gene-PA1484	1517	157.910495419531	0.0142051613966141	0.998831115276178
.	gene-PA0738	754	4.00619978290397e-06	0.0145708388477044	0.998831115276178
pscC	gene-PA1716	1753	84831.9125954529	0.0146319241806881	0.998831115276178
.	gene-PA5439	5609	1.37932059312749	0.0146829296853581	0.998831115276178
atuR	gene-PA2885	2951	11456.5238017445	0.0149073054759887	0.998831115276178
.	gene-PA5027	5185	2371188256.0727	0.0149791845911735	0.998831115276178
.	gene-PA1619	1655	10.7880270389887	0.0151283391581438	0.998831115276178
.	gene-PA1646	1683	20621.2172145566	0.0153114800799101	0.998831115276178
.	gene-PA3978	4078	0.0245067058205367	0.0153455908279687	0.998831115276178
.	gene-PA5133	5290	10.1745494005956	0.0153899053062205	0.998831115276178
lpxO1	gene-PA4512	4633	9.96894036807131	0.0161594457954658	0.998831115276178
phzC2	gene-PA1901	1948	72.3185928223055	0.0170513272723398	0.998831115276178
fimW	gene-PA4958	5114	379.890954248237	0.0172381335421306	0.998831115276178
.	gene-PA5517	5686	22.0208939958094	0.017581895269187	0.998831115276178
ccoN2	gene-PA1557	1594	5120780495.8055	0.0178664249628107	0.998831115276178
.	gene-PA4324	4441	42.2028284461578	0.0182337721842621	0.998831115276178
.	gene-PA3847	3943	13.5247672306804	0.0189661890977898	0.998831115276178
.	MSTRG.712.1	862	339.933038781815	0.0194233258414569	0.998831115276178
.	gene-PA0033	34	2.68749921970784e-08	0.0200295725844497	0.998831115276178
.	gene-PA0043	45	2.08810202876988e-05	0.0200335940371428	0.998831115276178
.	gene-PA3786	3882	323.302393693782	0.0201629491258415	0.998831115276178
.	gene-PA1745	1782	5.71370720301443e-05	0.0204290077495359	0.998831115276178
.	gene-PA1260	1290	5.89387878957452e-07	0.0217425844993888	0.998831115276178
.	rna-PA4690.5	4833	0.000929167446926329	0.0220520523188361	0.998831115276178
.	gene-PA0851	869	138.159919988549	0.0220655866173396	0.998831115276178
.	gene-PA4488	4609	0.12707181938423	0.0221622778687063	0.998831115276178
mexC	gene-PA4599	4724	12.5533174198434	0.0226645902469312	0.998831115276178
.	gene-PA4924	5077	4.16898998241017	0.0227911702371213	0.998831115276178
.	gene-PA5437	5606	23.3636090887897	0.0228715838111996	0.998831115276178
gcvH1	gene-PA5214	5375	0.150081199672143	0.0232268945268749	0.998831115276178
.	gene-PA5149	5306	0.0215572815717718	0.0232462855615623	0.998831115276178
.	MSTRG.3502.1	4281	56.5130890206109	0.0235315821165853	0.998831115276178
.	gene-PA0486	493	0.255481260390813	0.0238214274230644	0.998831115276178
.	MSTRG.3526.1	4312	0.155688474425713	0.0240803604503449	0.998831115276178
.	gene-PA5328	5492	2.68069078526699e-07	0.0245196975852406	0.998831115276178
.	gene-PA0358	364	0.751100328941488	0.0250047897231307	0.998831115276178
.	gene-PA2506	2557	2.71020124128339e-07	0.0250531599723001	0.998831115276178
.	gene-PA4108	4206	827.573175851443	0.025984639932207	0.998831115276178
.	gene-PA2841	2906	19.467988854705	0.0261654208837269	0.998831115276178
.	gene-PA5370	5539	0.366888932319164	0.0263132988309589	0.998831115276178
.	gene-PA1579	1615	0.361583763404349	0.0265415113396451	0.998831115276178
.	gene-PA0779	794	9.43328159086984e-06	0.0266401703886971	0.998831115276178
